_id,id_local,id_distrito_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,desc_situacion_local,Nombre,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,,__1,__2,__3,__4,__5,__6,__7,inspeccionar,estado,revision.prox_inspeccion,revision.puntuacion,revision.comentario
3654,270232295,4,SALAMANCA,CASTELLANA,CALLE,84,28006,"441759,59","4475875,52",Abierto,MAS Q MENOS,1,Anual,1,Abierta,"30,65",CALLE,SERRANO,84,,Acera,8:00:00,00:00:00,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,3,1,16,16,42,,,,,,,,,,true,,10,80,separar las mesas
3656,285004024,1,CENTRO,SOL,CALLE,6,28013,"440298,59","4474370,53",Abierto,LLAO LLAO,1,Anual,1,Abierta,"12,75",CALLE,CARMEN,6,,Calle peatonal,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,5,5,16,,,,,,,,,,,,10,80,separar las mesas
3658,280009097,1,CENTRO,CORTES,CALLE,39,28014,"441009,59","4473788,52",Abierto,EL ALMAC?N DEL PAN,1,Anual,1,Abierta,"14,04",CALLE,BERENJENA,4,,Calle peatonal,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,1:30:00,10:00:00,23:00:00,0,0,6,6,18,,,,,,,,,,,,10,80,separar las mesas
3659,280008123,1,CENTRO,EMBAJADORES,PLAZA,7,28012,"440237,59","4473740,53",Abierto,PAPIZZA,1,Anual,1,Abierta,"25,92",PLAZA,TIRSO DE MOLINA,7,,Plaza con bandas permanentes de circulaci? rodada,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,2:00:00,10:00:00,23:00:00,0,0,8,8,32,,,,,,,,,,,,10,80,separar las mesas
3660,280019906,3,RETIRO,PACIFICO,CALLE,178,28007,"442769,57","4472597,5",Abierto,GRANIER,2,Estacional,1,Abierta,"11,25",CALLE,DOCTOR ESQUERDO,178,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,2,,12,,32,,,,,,,,,,true,,10,80,separar las mesas
3662,150001779,15,CIUDAD LINEAL,PUEBLO NUEVO,CALLE,112,28017,"446231,56","4475410,46",Abierto,EL MAR ROJO,1,Anual,1,Abierta,"60,77",CALLE,JOSE ARCONES GIL,112,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,2,0,18,18,74,,,,,,,,,,true,,10,80,separar las mesas
3663,280073840,15,CIUDAD LINEAL,PUEBLO NUEVO,CALLE,2,28017,"446827,56","4474476,45",Abierto,RESTAURANTE KEBAB,1,Anual,1,Abierta,"37,53",CALLE,IDIOMA ESPERANTO,2,,Calle peatonal,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,14,14,48,,,,,,,,,,,,10,80,separar las mesas
3664,270174925,15,CIUDAD LINEAL,SAN JUAN BAUTISTA,CALLE,70,28043,"444226,58","4477890,49",Abierto,BARCOAVI,1,Anual,1,Abierta,"24,12",CALLE,TORRELAGUNA,70,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,8,8,30,,,,,,,,,,false,3,10,80,separar las mesas
3665,270543472,12,USERA,ALMENDRALES,CALLE,4,28026,"440348,58","4470550,52",Abierto,A BARCA MUXIA RESTAURANTE,2,Estacional,1,Abierta,"24,72",CALLE,DOLORES BARRANCO,4,,Plaza con bandas permanentes de circulaci? rodada,10:00:00,00:00:00,,,10:00:00,2:00:00,,,1,,7,,26,,,,,,,,,,,,10,80,separar las mesas
3666,270154471,12,USERA,ORCASITAS,CALLE,10,28041,"439734,56","4468985,52",Abierto,BAR LOS EXTREME?OS,2,Estacional,1,Abierta,"14,97",CALLE,GRAN AVENIDA,10,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,6,,19,,,,,,,,,,false,2,10,80,separar las mesas
3667,270298706,13,PUENTE DE VALLECAS,PORTAZGO,CALLE,66,28038,"444958,55","4471452,47",Cerrado,BAR LOZANO,2,Estacional,1,Abierta,"23,88",CALLE,CARLOS SOLE,66,A,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,8,,32,,,,,,,,,,false,3,10,80,separar las mesas
3668,270411938,20,SAN BLAS-CANILLEJAS,SIMANCAS,CALLE,462,28027,"446260,57","4476667,46",Abierto,DEGUSTANDO,1,Anual,1,Abierta,"8,4",CALLE,ALCALA,462,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,0,0,4,4,12,,,,,,,,,,true,2,10,80,separar las mesas
3669,40002474,4,SALAMANCA,GOYA,AVENIDA,8,28009,"442607,58","4475019,51",Abierto,LA TUERTA,1,Anual,1,Abierta,"41,94",AVENIDA,FELIPE II,8,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,10,10,39,,,,,,,,,,false,3,10,80,separar las mesas
3671,270379091,3,RETIRO,PACIFICO,PASEO,16,28014,"442109,58","4473131,51",Abierto,BAR CHIQUI,1,Anual,1,Abierta,"13,7",PASEO,REINA CRISTINA,16,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,5,5,19,,,,,,,,,,false,2,10,80,separar las mesas
3673,50001183,5,CHAMARTIN,NUEVA ESPA?A,PASEO,176,28046,"441572,6","4479088,53",Abierto,CON PAN,2,Estacional,1,Abierta,"9,18",CALLE,JUAN HURTADO DE MENDOZA,2,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,3,,9,,,,,,,,,,false,1,10,80,separar las mesas
3674,270330312,5,CHAMARTIN,PROSPERIDAD,CALLE,47,28002,"443433,58","4477482,5",Abierto,DOLCRIS,1,Anual,1,Abierta,"34,56",CALLE,CORAZON DE MARIA,47,,Acera,10:00:00,00:00:00,10:00:00,0:00:00,10:00:00,2:00:00,10:00:00,0:00:00,0,0,10,10,40,,,,,,,,,,false,3,10,80,separar las mesas
3676,270094968,5,CHAMARTIN,NUEVA ESPA?A,CALLE,37,28036,"441849,6","4479137,52",Abierto,LA GITANA,2,Estacional,1,Abierta,"99,75",CALLE,GENERAL GALLEGOS,4,,Plaza peatonal,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,2,2,27,27,86,,,,,,,,,,,,10,80,separar las mesas
3678,270239534,1,CENTRO,CORTES,CALLE,2,28014,"440914,59","4474421,52",Abierto,CIRCULO DE BELLAS ARTES DE MADRID,1,Anual,1,Abierta,"93,24",CALLE,ALCALA,42,,Acera,8:00:00,00:00:00,8:00:00,1:00:00,8:00:00,1:30:00,8:00:00,1:00:00,2,0,26,26,99,,,,,,,,,,true,,10,80,separar las mesas
3679,270557667,1,CENTRO,JUSTICIA,CALLE,6,28004,0,0,Abierto,MERCADO PROVENZAL,1,Anual,1,Abierta,"27,72",CALLE,MEJIA LEQUERICA,11,,Acera,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,2:00:00,10:00:00,23:00:00,0,0,8,8,32,,,,,,,,,,false,3,10,80,separar las mesas
3680,280015659,1,CENTRO,JUSTICIA,CALLE,6,28004,0,0,Abierto,LA TABERNA DE BARCELO,1,Anual,1,Abierta,"26,82",CALLE,BARCELO,6,,Acera,10:00:00,00:00:00,10:00:00,23:00:00,10:00:00,2:00:00,10:00:00,23:00:00,0,0,8,8,31,,,,,,,,,,false,3,10,80,separar las mesas
3681,270457173,1,CENTRO,CORTES,CALLE,5,28014,"440616,59","4474074,53",Abierto,EL CALLEJON DE MADRID,2,Estacional,1,Abierta,"2,52",CALLE,MANUEL FERNANDEZ Y GONZALEZ,5,,Calle peatonal,10:00:00,00:00:00,,,10:00:00,1:30:00,,,0,,1,,3,,,,,,,,,,,,10,80,separar las mesas
3682,285004131,1,CENTRO,CORTES,CALLE,29,28014,"440832,59","4474092,52",Abierto,SIN DATOS,2,Estacional,1,Abierta,"12,16",CALLE,PRADO,29,,Acera,10:00:00,00:00:00,,,10:00:00,2:00:00,,,0,,7,,14,,,,,,,,,,false,2,10,80,separar las mesas
